TIME(MS),COMMAND,VALUE
731     ,5      ,1    
2183    ,5      ,0    
2705    ,5      ,1    
3727    ,5      ,0    
4447    ,5      ,1    
5410    ,5      ,0    
7454    ,5      ,1    
8220    ,5      ,0    
9009    ,5      ,1    
9183    ,5      ,0    
9207    ,5      ,1    
9381    ,5      ,0    
9404    ,5      ,1    
9567    ,5      ,0    
12783   ,5      ,1    
13259   ,5      ,0    
13305   ,5      ,1    
13688   ,5      ,0    
13735   ,5      ,1    
14350   ,5      ,0    
14385   ,5      ,1    
14745   ,5      ,0    
14768   ,5      ,1    
15139   ,5      ,0    
15163   ,5      ,1    
15546   ,5      ,0    
15581   ,5      ,1    
15720   ,5      ,0    
18228   ,5      ,1    
18959   ,5      ,0    
20619   ,5      ,1    
21281   ,5      ,0    
21316   ,5      ,1    
21490   ,5      ,0    
21525   ,5      ,1    
21699   ,5      ,0    
21722   ,5      ,1    
21885   ,5      ,0    
24369   ,5      ,1    
25136   ,5      ,0    
26703   ,5      ,1    
27028   ,5      ,0    
27074   ,5      ,1    
27446   ,5      ,0    
27481   ,5      ,1    
27980   ,5      ,0    
28080   ,END    ,1    
